id,name,description,price,stock,category,imageUrl,createdAt,updatedAt
1,Refined Cotton Ball,This is a fantastic refined cotton ball that provides exceptional value. Contains premium materials and state-of-the-art construction.,245.38,183,Clothing,https://picsum.photos/seed/1/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
2,Gorgeous Steel Shirt,This is a fantastic gorgeous steel shirt that provides exceptional value. Contains premium materials and state-of-the-art construction.,433.12,113,Toys,https://picsum.photos/seed/2/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
3,Awesome Wooden Bike,This is a fantastic awesome wooden bike that provides exceptional value. Contains premium materials and state-of-the-art construction.,192.83,61,Books,https://picsum.photos/seed/3/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
4,Gorgeous Cotton Gloves,This is a fantastic gorgeous cotton gloves that provides exceptional value. Contains premium materials and state-of-the-art construction.,202.09,152,Books,https://picsum.photos/seed/4/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
5,Sleek Wooden Car,This is a fantastic sleek wooden car that provides exceptional value. Contains premium materials and state-of-the-art construction.,267.17,97,Sports,https://picsum.photos/seed/5/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
6,Rustic Steel Mouse,This is a fantastic rustic steel mouse that provides exceptional value. Contains premium materials and state-of-the-art construction.,446.81,145,Toys,https://picsum.photos/seed/6/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
7,Licensed Metal Pants,This is a fantastic licensed metal pants that provides exceptional value. Contains premium materials and state-of-the-art construction.,312.67,32,Sports,https://picsum.photos/seed/7/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
8,Awesome Rubber Ball,This is a fantastic awesome rubber ball that provides exceptional value. Contains premium materials and state-of-the-art construction.,34.21,121,Sports,https://picsum.photos/seed/8/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
9,Handcrafted Wooden Computer,This is a fantastic handcrafted wooden computer that provides exceptional value. Contains premium materials and state-of-the-art construction.,338.63,99,Clothing,https://picsum.photos/seed/9/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
10,Intelligent Metal Computer,This is a fantastic intelligent metal computer that provides exceptional value. Contains premium materials and state-of-the-art construction.,381.05,143,Sports,https://picsum.photos/seed/10/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
11,Intelligent Wooden Pants,This is a fantastic intelligent wooden pants that provides exceptional value. Contains premium materials and state-of-the-art construction.,278.52,72,Clothing,https://picsum.photos/seed/11/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
12,Ergonomic Wooden Keyboard,This is a fantastic ergonomic wooden keyboard that provides exceptional value. Contains premium materials and state-of-the-art construction.,351.58,63,Books,https://picsum.photos/seed/12/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
13,Refined Steel Car,This is a fantastic refined steel car that provides exceptional value. Contains premium materials and state-of-the-art construction.,450.8,58,Sports,https://picsum.photos/seed/13/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
14,Refined Granite Bike,This is a fantastic refined granite bike that provides exceptional value. Contains premium materials and state-of-the-art construction.,178.2,100,Home & Garden,https://picsum.photos/seed/14/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
15,Handcrafted Soft Keyboard,This is a fantastic handcrafted soft keyboard that provides exceptional value. Contains premium materials and state-of-the-art construction.,80.31,79,Home & Garden,https://picsum.photos/seed/15/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
16,Rustic Soft Car,This is a fantastic rustic soft car that provides exceptional value. Contains premium materials and state-of-the-art construction.,286.28,189,Toys,https://picsum.photos/seed/16/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
17,Rustic Wooden Ball,This is a fantastic rustic wooden ball that provides exceptional value. Contains premium materials and state-of-the-art construction.,310.71,74,Home & Garden,https://picsum.photos/seed/17/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
18,Licensed Fresh Bike,This is a fantastic licensed fresh bike that provides exceptional value. Contains premium materials and state-of-the-art construction.,65.22,184,Books,https://picsum.photos/seed/18/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
19,Refined Steel Keyboard,This is a fantastic refined steel keyboard that provides exceptional value. Contains premium materials and state-of-the-art construction.,496.43,174,Books,https://picsum.photos/seed/19/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
20,Awesome Concrete Shirt,This is a fantastic awesome concrete shirt that provides exceptional value. Contains premium materials and state-of-the-art construction.,18.25,143,Home & Garden,https://picsum.photos/seed/20/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
21,Unbranded Wooden Keyboard,This is a fantastic unbranded wooden keyboard that provides exceptional value. Contains premium materials and state-of-the-art construction.,179.06,140,Sports,https://picsum.photos/seed/21/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
22,Rustic Soft Shirt,This is a fantastic rustic soft shirt that provides exceptional value. Contains premium materials and state-of-the-art construction.,506.36,187,Clothing,https://picsum.photos/seed/22/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
23,Refined Metal Pants,This is a fantastic refined metal pants that provides exceptional value. Contains premium materials and state-of-the-art construction.,408.43,147,Electronics,https://picsum.photos/seed/23/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
24,Licensed Metal Bike,This is a fantastic licensed metal bike that provides exceptional value. Contains premium materials and state-of-the-art construction.,403.83,89,Toys,https://picsum.photos/seed/24/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
25,Intelligent Steel Car,This is a fantastic intelligent steel car that provides exceptional value. Contains premium materials and state-of-the-art construction.,249.06,28,Clothing,https://picsum.photos/seed/25/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
26,Awesome Granite Bike,This is a fantastic awesome granite bike that provides exceptional value. Contains premium materials and state-of-the-art construction.,333.86,104,Sports,https://picsum.photos/seed/26/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
27,Gorgeous Concrete Gloves,This is a fantastic gorgeous concrete gloves that provides exceptional value. Contains premium materials and state-of-the-art construction.,394.91,119,Sports,https://picsum.photos/seed/27/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
28,Sleek Plastic Pants,This is a fantastic sleek plastic pants that provides exceptional value. Contains premium materials and state-of-the-art construction.,447.06,46,Sports,https://picsum.photos/seed/28/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
29,Licensed Fresh Ball,This is a fantastic licensed fresh ball that provides exceptional value. Contains premium materials and state-of-the-art construction.,484.12,53,Home & Garden,https://picsum.photos/seed/29/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
30,Rustic Soft Car,This is a fantastic rustic soft car that provides exceptional value. Contains premium materials and state-of-the-art construction.,455.66,152,Electronics,https://picsum.photos/seed/30/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
31,Licensed Fresh Ball,This is a fantastic licensed fresh ball that provides exceptional value. Contains premium materials and state-of-the-art construction.,268.49,2,Home & Garden,https://picsum.photos/seed/31/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
32,Intelligent Plastic Chair,This is a fantastic intelligent plastic chair that provides exceptional value. Contains premium materials and state-of-the-art construction.,194.86,193,Books,https://picsum.photos/seed/32/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
33,Handcrafted Metal Mouse,This is a fantastic handcrafted metal mouse that provides exceptional value. Contains premium materials and state-of-the-art construction.,235.44,44,Home & Garden,https://picsum.photos/seed/33/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
34,Licensed Rubber Car,This is a fantastic licensed rubber car that provides exceptional value. Contains premium materials and state-of-the-art construction.,424.62,198,Clothing,https://picsum.photos/seed/34/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
35,Awesome Rubber Mouse,This is a fantastic awesome rubber mouse that provides exceptional value. Contains premium materials and state-of-the-art construction.,474.07,27,Sports,https://picsum.photos/seed/35/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
36,Rustic Soft Car,This is a fantastic rustic soft car that provides exceptional value. Contains premium materials and state-of-the-art construction.,305.52,79,Sports,https://picsum.photos/seed/36/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
37,Intelligent Soft Shirt,This is a fantastic intelligent soft shirt that provides exceptional value. Contains premium materials and state-of-the-art construction.,247.22,192,Toys,https://picsum.photos/seed/37/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
38,Sleek Rubber Shirt,This is a fantastic sleek rubber shirt that provides exceptional value. Contains premium materials and state-of-the-art construction.,448.18,112,Books,https://picsum.photos/seed/38/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
39,Intelligent Plastic Gloves,This is a fantastic intelligent plastic gloves that provides exceptional value. Contains premium materials and state-of-the-art construction.,142.8,84,Toys,https://picsum.photos/seed/39/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
40,Ergonomic Concrete Computer,This is a fantastic ergonomic concrete computer that provides exceptional value. Contains premium materials and state-of-the-art construction.,91.3,102,Clothing,https://picsum.photos/seed/40/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
41,Unbranded Fresh Bike,This is a fantastic unbranded fresh bike that provides exceptional value. Contains premium materials and state-of-the-art construction.,400.37,45,Sports,https://picsum.photos/seed/41/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
42,Intelligent Granite Computer,This is a fantastic intelligent granite computer that provides exceptional value. Contains premium materials and state-of-the-art construction.,389,124,Electronics,https://picsum.photos/seed/42/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
43,Unbranded Plastic Keyboard,This is a fantastic unbranded plastic keyboard that provides exceptional value. Contains premium materials and state-of-the-art construction.,477.06,143,Sports,https://picsum.photos/seed/43/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
44,Unbranded Plastic Keyboard,This is a fantastic unbranded plastic keyboard that provides exceptional value. Contains premium materials and state-of-the-art construction.,78.74,42,Electronics,https://picsum.photos/seed/44/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
45,Licensed Plastic Pants,This is a fantastic licensed plastic pants that provides exceptional value. Contains premium materials and state-of-the-art construction.,221.16,139,Toys,https://picsum.photos/seed/45/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
46,Handcrafted Cotton Computer,This is a fantastic handcrafted cotton computer that provides exceptional value. Contains premium materials and state-of-the-art construction.,28.98,127,Toys,https://picsum.photos/seed/46/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
47,Handcrafted Wooden Bike,This is a fantastic handcrafted wooden bike that provides exceptional value. Contains premium materials and state-of-the-art construction.,446.71,3,Toys,https://picsum.photos/seed/47/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
48,Handcrafted Granite Mouse,This is a fantastic handcrafted granite mouse that provides exceptional value. Contains premium materials and state-of-the-art construction.,325.29,104,Toys,https://picsum.photos/seed/48/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
49,Handcrafted Granite Keyboard,This is a fantastic handcrafted granite keyboard that provides exceptional value. Contains premium materials and state-of-the-art construction.,54.53,18,Home & Garden,https://picsum.photos/seed/49/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
50,Unbranded Metal Keyboard,This is a fantastic unbranded metal keyboard that provides exceptional value. Contains premium materials and state-of-the-art construction.,454.79,123,Electronics,https://picsum.photos/seed/50/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
51,Water Bottle,A durable water bottle.,15.99,250,sports,https://images.unsplash.com/photo-1602143407151-7111542de6e8?w=500,2026-06-04 13:48:37.575,2026-06-04 13:48:37.575
